score,malignancy
49.76076555,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
50.98039216,benign
0,benign
100,benign
58.38509317,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
0,benign
23.07692308,benign
72.72727273,benign
82.52427184,benign
23.07692308,benign
86.95652174,benign
0,benign
0,benign
57.26495726,benign
0,benign
0,benign
56.30252101,benign
93.5483871,benign
0,malware
40,malware
17.10526316,malware
84.14634146,malware
85.4368932,malware
83.33333333,malware
11.32075472,malware
85.96491228,malware
100,malware
55.55555556,malware
94.44444444,malware
70.96774194,malware
86.07594937,malware
89.47368421,malware
98.50746269,malware
98.50746269,malware
98.50746269,malware
98.50746269,malware
98.50746269,malware
98.50746269,malware
